peak_name peak_centre gsqr integrated_intensity ln_intensity
[0.0, 0.0, 0.0] [0.0, 0.0, 0.0] 0.0 1451.15821699 7.280117286907652
[0.0, 0.0, 2.0048] [0.0, 0.0, 2.0048] 12.049687342451763 1321.83670821 7.186777494028092
[0.0, 2.0044, 0.0] [0.0, 2.0044, 0.0] 12.044879487200879 1317.74513314 7.183677322414654
[0.002, 2.0044, 2.0048] [0.002, 2.0044, 2.0048] 24.09457882170904 1188.42943345 7.080387910576853
[1.001, 1.0002, 1.0024] [1.001, 1.0002, 1.0024] 9.015648386135561 1348.3441117 7.206632534633818
[1.003, 1.0002, 3.0072] [1.003, 1.0002, 3.0072] 33.12703911154938 1111.82431224 7.013757469741563
[1.003, 3.0046, 1.0004] [1.003, 3.0046, 1.0004] 33.081377677928 1106.45047447 7.008912399760869
[2.002, -0.006, -0.002] [2.002, -0.006, -0.002] 12.016172422914288 1330.73056724 7.193483369084639
[2.002, -0.004, 2.0028] [2.002, -0.004, 2.0028] 24.04175813041836 1205.63985553 7.094765705430493
[2.004, 1.9984, -0.002] [2.004, 1.9984, -0.002] 24.012961365549916 1207.6486456 7.096430479897004
[3.005, 0.9942, 1.0004] [3.005, 0.9942, 1.0004] 33.03589324705906 1132.33290093 7.032035297618793
